Season;Games;MPG;FGA;FG%;3PA;3P%;eFG%;PPG;TotalPoints
2004;79;39.5;18.9;0.417;2.7;0.290;0.438;20.9;1654
2005;159;42.4;21.1;0.472;3.9;0.351;0.504;27.2;3829
2006;238;42.5;23.1;0.480;4.8;0.335;0.515;31.4;6307
2007;316;40.9;20.8;0.476;4.0;0.319;0.507;27.3;8439
2008;391;40.4;21.9;0.484;4.8;0.315;0.518;30.0;10689
2009;472;37.7;19.9;0.489;4.7;0.344;0.530;28.4;12993
2010;548;39.0;20.1;0.503;5.1;0.333;0.545;29.7;15251
2011;627;38.8;18.8;0.510;3.5;0.330;0.541;26.7;17362
2012;689;37.5;18.9;0.531;2.4;0.362;0.554;27.1;19045
2013;765;37.9;17.8;0.565;3.3;0.406;0.603;26.8;21081
2014;842;37.7;17.6;0.567;4.0;0.379;0.610;27.1;23170
2015;911;36.1;18.5;0.488;4.9;0.354;0.535;25.3;24913
2016;987;35.6;18.6;0.520;3.7;0.309;0.551;25.3;26833
2017;1061;37.8;18.2;0.548;4.6;0.363;0.594;26.4;28787
2018;1143;36.9;19.3;0.542;5.0;0.367;0.590;27.5;31038
2019;1198;35.2;19.9;0.510;5.9;0.339;0.560;27.4;32543
2020;1265;34.6;19.4;0.493;6.3;0.348;0.550;25.3;34241
